dseg_offset_hex,symbol,role
0028,ERRFLG,error/status flag
002E,CURLIN,current BASIC line number
0030,TXTTAB,start of tokenized program text
006F,CNTOFL,console/output control flag
008E,NAMCNT,extra variable-name character count
008F,NAMBUF,extended variable-name buffer
00B8,KBUF,tokenizer crunch buffer
013E,KBFLEN,crunch-buffer length constant
02FA,DIMFLG,DIM/PTRGET mode flag
02FB,VALTYP,current FAC/value type
02FC,DORES,tokenizer reserved-word state
02FD,DONUM,tokenizer numeric-constant state
030A,MEMSIZ,top of BASIC memory
031F,DEFTBL,default variable type table
032F,FRETOP,string-space/free-memory boundary
0331,TEMP3,formula-evaluator saved text pointer
0339,SUBFLG,array/subscript permission/state flag
033B,TEMP,general temporary text pointer
033E,AUTFLG,AUTO line-number mode flag
033F,AUTLIN,AUTO current line
0341,AUTINC,AUTO line increment
0343,SAVTXT,saved text pointer
0349,DOT,current/edit line number state
0352,TEMP2,formula-evaluator text pointer
0358,VARTAB,start of scalar variable table
035E,DATPTR,READ/DATA pointer
046B,CHNFLG,CHAIN-related state flag
04A3,FACLO,FAC low word / integer value
04A5,FACSGN,FAC sign/high mantissa byte area
04A6,FACEXP,FAC exponent/type-dependent high byte
04A8,FLGOVC,overflow-message suppression flag
04E9,PTRFIL,current file/device data pointer
