offset_hex,physical_hex,symbol
0000,F6000,ROM_ENTRY
0003,F6003,BASICA_ENTRY_1
0007,F6007,BASICA_ENTRY_2
000B,F600B,ROM_ENTRY_000B
0025,F6025,STMDSP
0103,F6103,ALPTAB
0137,F6137,RESLST
0137,F6137,ATAB
0148,F6148,BTAB
0157,F6157,CTAB
018B,F618B,DTAB
01B4,F61B4,ETAB
01D9,F61D9,FTAB
01E5,F61E5,GTAB
01F4,F61F4,HTAB
01F9,F61F9,ITAB
0215,F6215,JTAB
0216,F6216,KTAB
021A,F621A,LTAB
0250,F6250,MTAB
0262,F6262,NTAB
026D,F626D,OTAB
0286,F6286,PTAB
02A9,F62A9,QTAB
02AA,F62AA,RTAB
02DF,F62DF,STAB
0323,F6323,TTAB
033A,F633A,UTAB
0343,F6343,VTAB
034D,F634D,WTAB
0365,F6365,XTAB
0369,F6369,YTAB
036A,F636A,ZTAB
036B,F636B,OPERATOR_TOKEN_BYTES
0380,F6380,CHAR_CLASS_TABLE
03B5,F63B5,ERRTAB_TEXT
03B5,F63B5,MSG_ERR_NEXT_WITHOUT_FOR
03C6,F63C6,MSG_ERR_SYNTAX_ERROR
03D3,F63D3,MSG_ERR_RETURN_WITHOUT_GOSUB
03E8,F63E8,MSG_ERR_OUT_OF_DATA
03F4,F63F4,MSG_ERR_ILLEGAL_FUNCTION_CALL
040A,F640A,MSG_ERR_OVERFLOW
0413,F6413,MSG_ERR_OUT_OF_MEMORY
0421,F6421,MSG_ERR_UNDEFINED_LINE_NUMBER
0437,F6437,MSG_ERR_SUBSCRIPT_OUT_OF_RANGE
044E,F644E,MSG_ERR_DUPLICATE_DEFINITION
0463,F6463,MSG_ERR_DIVISION_BY_ZERO
0474,F6474,MSG_ERR_ILLEGAL_DIRECT
0483,F6483,MSG_ERR_TYPE_MISMATCH
0491,F6491,MSG_ERR_OUT_OF_STRING_SPACE
04A5,F64A5,MSG_ERR_STRING_TOO_LONG
04B5,F64B5,MSG_ERR_STRING_FORMULA_TOO_COMPLEX
04D0,F64D0,MSG_ERR_CAN_T_CONTINUE
04DF,F64DF,MSG_ERR_UNDEFINED_USER_FUNCTION
04F7,F64F7,MSG_ERR_NO_RESUME
0501,F6501,MSG_ERR_RESUME_WITHOUT_ERROR
0516,F6516,MSG_ERR_UNPRINTABLE_ERROR
0528,F6528,MSG_ERR_MISSING_OPERAND
0538,F6538,MSG_ERR_LINE_BUFFER_OVERFLOW
054D,F654D,MSG_ERR_DEVICE_TIMEOUT
055C,F655C,MSG_ERR_DEVICE_FAULT
0569,F6569,MSG_ERR_FOR_WITHOUT_NEXT
057A,F657A,MSG_ERR_OUT_OF_PAPER
0587,F6587,MSG_ERR_
0589,F6589,MSG_ERR_WHILE_WITHOUT_WEND
059C,F659C,MSG_ERR_WEND_WITHOUT_WHILE
05AF,F65AF,MSG_ERR_FIELD_OVERFLOW
05BE,F65BE,MSG_ERR_INTERNAL_ERROR
05CD,F65CD,MSG_ERR_BAD_FILE_NUMBER
05DD,F65DD,MSG_ERR_FILE_NOT_FOUND
05EC,F65EC,MSG_ERR_BAD_FILE_MODE
05FA,F65FA,MSG_ERR_FILE_ALREADY_OPEN
060C,F660C,MSG_ERR__2
060E,F660E,MSG_ERR_DEVICE_I_O_ERROR
061F,F661F,MSG_ERR_FILE_ALREADY_EXISTS
0633,F6633,MSG_ERR__3
0635,F6635,MSG_ERR__4
0637,F6637,MSG_ERR_DISK_FULL
0641,F6641,MSG_ERR_INPUT_PAST_END
0650,F6650,MSG_ERR_BAD_RECORD_NUMBER
0662,F6662,MSG_ERR_BAD_FILE_NAME
0670,F6670,MSG_ERR__5
0672,F6672,MSG_ERR_DIRECT_STATEMENT_IN_FILE
068B,F668B,MSG_ERR_TOO_MANY_FILES
069A,F669A,RAM_INIT_IMAGE
0728,F6728,MSG_IN
072D,F672D,REDDY_MSG
0732,F6732,BREAK_MSG
0738,F6738,CODE_BODY_START
07BE,F67BE,SNERR
0D94,F6D94,FOR
0FFB,F6FFB,DEFSTR
0FFE,F6FFE,DEFINT
1001,F7001,DEFREA
1004,F7004,DEFDBL
10B6,F70B6,RUN
10CE,F70CE,GOSUB
10ED,F70ED,GOTO
1135,F7135,RETURN
115B,F715B,DATAS
115F,F715F,REM
115F,F715F,ELSES
118F,F718F,LET
11FE,F71FE,ONGOTO
1258,F7258,RESUME
12A9,F72A9,ERRORS
12B8,F72B8,AUTO
12F8,F72F8,IFS
1343,F7343,LPRINT
1348,F7348,PRINT
14D9,F74D9,LINE
1559,F7559,INPUT
163E,F763E,READ
1B7A,F7B7A,TOKH_CSRLIN
1BF0,F7BF0,DEF
1E3D,F7E3D,TOKH_VARPTR
1E53,F7E53,FNOUT
1E58,F7E58,FNWAIT
1E8A,F7E8A,WIDTHS
1F2E,F7F2E,LLIST
1F35,F7F35,LIST
2239,F8239,DELETE
2291,F8291,POKE
22D8,F82D8,RESEQ
243F,F843F,OPTION
249E,F849E,RANDOM
2617,F8617,TOKH_OFF
28E8,F88E8,TOKH_POINT
29A5,F89A5,TOKH_TO
29B1,F89B1,TOKH_THEN
29E9,F89E9,TOKH_INKEY
2D1B,F8D1B,SCRATH
2E0C,F8E0C,RESTORE
2E2D,F8E2D,STOP
2E33,F8E33,ENDST
2E85,F8E85,CONT
2E9C,F8E9C,TON
2E9D,F8E9D,TOFF
2EA3,F8EA3,SWAP
2EF3,F8EF3,ERASE
2F50,F8F50,CLEAR
36DF,F96DF,EDIT
3766,F9766,DIM
3D04,F9D04,WHILE
3D30,F9D30,WEND
3DA9,F9DA9,WRITE
4004,FA004,OPEN
416C,FA16C,LOAD
416D,FA16D,MERGE
41CE,FA1CE,SAVE
4352,FA352,CLOSE
4498,FA498,TOKH_AND
44AC,FA4AC,TOKH_OR
4613,FA613,BSAVE
4633,FA633,BLOAD
47CD,FA7CD,PRESET
47D1,FA7D1,PSET
4C9B,FAC9B,BASIC_TITLE_TEXT
4CBC,FACBC,BASIC_VERSION_TEXT
4CE4,FACE4,BASIC_BUILD_DATE_TEXT
502A,FB02A,KEYS
5193,FB193,SCREEN
52E7,FB2E7,CLS
532F,FB32F,COLOR
5417,FB417,LOCATE
580D,FB80D,BEEPS
5829,FB829,SOUNDS
5D26,FBD26,MOTOR
5DA0,FBDA0,CALLS
6284,FC284,TOKH_ERR
651C,FC51C,TOKH_TAB
70F1,FD0F1,TOKH_FN
730C,FD30C,TOKH_ERL
7368,FD368,NEXT
7887,FD887,TOKH_SPC
79F4,FD9F4,TOKH_STRING
7A0E,FDA0E,TOKH_NOT
7AAD,FDAAD,TOKH_USING
7ACD,FDACD,TOKH_INSTR
7D96,FDD96,TOKH_USR
7E80,FDE80,TOKH_STEP
7E92,FDE92,COLD_START
7FDC,FDFDC,BYTES_FREE_TEXT
