token_hex,keyword,handler_offset_hex,handler_symbol
01,LEFT$,,
02,RIGHT$,,
03,MID$,,
04,SGN,,
05,INT,,
06,ABS,,
07,SQR,,
08,RND,,
09,SIN,,
0A,LOG,,
0B,EXP,,
0C,COS,,
0D,TAN,,
0E,ATN,,
0F,FRE,,
10,INP,,
11,POS,,
12,LEN,,
13,STR$,,
14,VAL,,
15,ASC,,
16,CHR$,,
17,PEEK,,
18,SPACE$,,
19,OCT$,,
1A,HEX$,,
1B,LPOS,,
1C,CINT,,
1D,CSNG,,
1E,CDBL,,
1F,FIX,,
20,PEN,,
21,STICK,,
22,STRIG,,
23,EOF,,
24,LOC,,
25,LOF,,
81,END,2E33,ENDST
82,FOR,0D94,FOR
83,NEXT,7368,NEXT
84,DATA,115B,DATAS
85,INPUT,1559,INPUT
86,DIM,3766,DIM
87,READ,163E,READ
88,LET,118F,LET
89,GOTO,10ED,GOTO
89,GO TO,10ED,GOTO
8A,RUN,10B6,RUN
8B,IF,12F8,IFS
8C,RESTORE,2E0C,RESTORE
8D,GOSUB,10CE,GOSUB
8E,RETURN,1135,RETURN
8F,REM,115F,REM
90,STOP,2E2D,STOP
91,PRINT,1348,PRINT
92,CLEAR,2F50,CLEAR
93,LIST,1F35,LIST
94,NEW,2D1B,SCRATH
95,ON,11FE,ONGOTO
96,WAIT,1E58,FNWAIT
97,DEF,1BF0,DEF
98,POKE,2291,POKE
99,CONT,2E85,CONT
9C,OUT,1E53,FNOUT
9D,LPRINT,1343,LPRINT
9E,LLIST,1F2E,LLIST
A0,WIDTH,1E8A,WIDTHS
A1,ELSE,115F,ELSES
A2,TRON,2E9C,TON
A3,TROFF,2E9D,TOFF
A4,SWAP,2EA3,SWAP
A5,ERASE,2EF3,ERASE
A6,EDIT,36DF,EDIT
A7,ERROR,12A9,ERRORS
A8,RESUME,1258,RESUME
A9,DELETE,2239,DELETE
AA,AUTO,12B8,AUTO
AB,RENUM,22D8,RESEQ
AC,DEFSTR,0FFB,DEFSTR
AD,DEFINT,0FFE,DEFINT
AE,DEFSNG,1001,DEFREA
AF,DEFDBL,1004,DEFDBL
B0,LINE,14D9,LINE
B1,WHILE,3D04,WHILE
B2,WEND,3D30,WEND
B3,CALL,5DA0,CALLS
B7,WRITE,3DA9,WRITE
B8,OPTION,243F,OPTION
B9,RANDOMIZE,249E,RANDOM
BA,OPEN,4004,OPEN
BB,CLOSE,4352,CLOSE
BC,LOAD,416C,LOAD
BD,MERGE,416D,MERGE
BE,SAVE,41CE,SAVE
BF,COLOR,532F,COLOR
C0,CLS,52E7,CLS
C1,MOTOR,5D26,MOTOR
C2,BSAVE,4613,BSAVE
C3,BLOAD,4633,BLOAD
C4,SOUND,5829,SOUNDS
C5,BEEP,580D,BEEPS
C6,PSET,47D1,PSET
C7,PRESET,47CD,PRESET
C8,SCREEN,5193,SCREEN
C9,KEY,502A,KEYS
CA,LOCATE,5417,LOCATE
CC,TO,29A5,TOKH_TO
CD,THEN,29B1,TOKH_THEN
CE,TAB(,651C,TOKH_TAB
CF,STEP,7E80,TOKH_STEP
D0,USR,7D96,TOKH_USR
D1,FN,70F1,TOKH_FN
D2,SPC(,7887,TOKH_SPC
D3,NOT,7A0E,TOKH_NOT
D4,ERL,730C,TOKH_ERL
D5,ERR,6284,TOKH_ERR
D6,STRING$,79F4,TOKH_STRING
D7,USING,7AAD,TOKH_USING
D8,INSTR,7ACD,TOKH_INSTR
DA,VARPTR,1E3D,TOKH_VARPTR
DB,CSRLIN,1B7A,TOKH_CSRLIN
DC,POINT,28E8,TOKH_POINT
DD,OFF,2617,TOKH_OFF
DE,INKEY$,29E9,TOKH_INKEY
EE,AND,4498,TOKH_AND
EF,OR,44AC,TOKH_OR
F0,XOR,,
F1,EQV,,
F2,IMP,,
F3,MOD,,
